Model,RMSE,MAE,R²
Linear Regression,1.2791487778811548,0.6387399482799249,0.9840398949581067
Ridge,1.2836159210020757,0.6421687825173396,0.9839282260615154
Lasso,1.327365834857298,0.6651905839576546,0.9828139965312775
Random Forest,3.5644382037426845,1.2310055335968373,0.8760701841204633
Gradient Boosting,3.7199326485982573,1.5731737089833067,0.8650217545652625
XGBoost,4.504263453792783,1.4827673198429134,0.8021020963543867
