効果,係数,p値,有意性
総合効果 (c),-0.17013988746349884,0.00019827544091279936,有意
経路a (X→M),-0.33475412468686416,5.499958663805043e-35,有意
経路b (M→Y),0.733676307889972,4.941680586261265e-10,有意
直接効果 (c'),0.07546128278769909,0.18257708540053838,非有意
間接効果 (a×b),-0.24560117025119782,3.4537330773076746e-09,有意
