Phase,説明変数,相関係数,R²,説明力(%)
C,COVID-19死亡数,-0.15413100834668295,0.02375636773396539,2.375636773396539
D,恐怖指数,-0.23906032537953306,0.05714983917056815,5.714983917056815
E,隣の人指数,-0.1106526391296827,0.012244006546363706,1.2244006546363706
複合,全て,,0.07801642623223148,7.801642623223149
