指標,相関係数,R²,傾き
恐怖指数,-0.23906032537953312,0.05714983917056815,-0.19486556737376767
COVID-19死亡数,-0.15413100834668295,0.02375636773396539,-0.046274614302493196
複合モデル,,0.07571613545741207,
